gene,term,UniqueGene
ADH1A,Retinol Metabolism,In multiple Pathways
ADH1A,Xenobiotics Metabolism,In multiple Pathways
ADH1A,Ethanol Metabolism,In multiple Pathways
ADH1A,ROS Detoxification,In multiple Pathways
ADH1A,"Fatty Acids Oxidation, peroxisomal",In multiple Pathways
ADH1A,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
ADH1B,Xenobiotics Metabolism,In multiple Pathways
ADH1B,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
ADH1B,Ethanol Metabolism,In multiple Pathways
ADH1B,Retinol Metabolism,In multiple Pathways
ADH1B,"Fatty Acids Oxidation, peroxisomal",In multiple Pathways
ADH1B,ROS Detoxification,In multiple Pathways
ADH1C,Xenobiotics Metabolism,In multiple Pathways
ADH1C,Retinol Metabolism,In multiple Pathways
ADH1C,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
ADH1C,"Fatty Acids Oxidation, peroxisomal",In multiple Pathways
ADH1C,Ethanol Metabolism,In multiple Pathways
ADH1C,ROS Detoxification,In multiple Pathways
ADH4,Tyrosine metabolism,In multiple Pathways
ADH4,Ethanol Metabolism,In multiple Pathways
ADH5,DNA Demethylation,In multiple Pathways
ADH5,Glutathione Metabolism,In multiple Pathways
ADH5,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
ADH5,"Fatty Acids Oxidation, peroxisomal",In multiple Pathways
ADH6,"Fatty Acids Oxidation, peroxisomal",In multiple Pathways
ADH6,DNA Demethylation,In multiple Pathways
ADH6,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
ADH7,"Fatty Acids Oxidation, peroxisomal",In multiple Pathways
ADH7,Xenobiotics Metabolism,In multiple Pathways
ADH7,Retinol Metabolism,In multiple Pathways
ADH7,Ethanol Metabolism,In multiple Pathways
ADH7,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
ADH7,ROS Detoxification,In multiple Pathways
ADHFE1,GABA shunt,Unique
ADK,Purine Metabolism,Unique
ADSL,Purine Biosynthesis,In multiple Pathways
ADSL,Citric Acid Cycle,In multiple Pathways
ADSS,Purine Metabolism,Unique
ADSSL1,Purine Metabolism,Unique
AGA,N-Glycan Degradation,In multiple Pathways
AGA,Keratan sulfate degradation,In multiple Pathways
AGL,Glycogen Degradation,Unique
AGMAT,Polyamines Metabolism,Unique
AGPAT1,Triacylglycerol Synthesis,Unique
AGPAT2,Triacylglycerol Synthesis,Unique
AGPAT3,Triacylglycerol Synthesis,Unique
AGPAT4,Triacylglycerol Synthesis,Unique
AGPAT5,Triacylglycerol Synthesis,Unique
AGPAT6,Triacylglycerol Synthesis,Unique
AGPS,Glycerophospholipid Metabolism,Unique
AGXT,Alanine and Aspartate Metabolism,In multiple Pathways
AGXT,Pyruvate Metabolism,In multiple Pathways
AGXT,"Glycine, Serine and Threonine Metabolism",In multiple Pathways
AGXT2,Alanine and Aspartate Metabolism,In multiple Pathways
AGXT2,"Glycine, Serine and Threonine Metabolism",In multiple Pathways
AGXT2,Pyruvate Metabolism,In multiple Pathways
AGXT2L1,"Glycine, Serine and Threonine Metabolism",In multiple Pathways
AGXT2L1,Pyruvate Metabolism,In multiple Pathways
AGXT2L1,Alanine and Aspartate Metabolism,In multiple Pathways
AHCY,Selenoamino acid metabolism,In multiple Pathways
AHCY,Methionine Metabolism,In multiple Pathways
AHCY,Cysteine Metabolism,In multiple Pathways
AHCYL1,Methionine Metabolism,In multiple Pathways
AHCYL1,Selenoamino acid metabolism,In multiple Pathways
AHCYL1,Cysteine Metabolism,In multiple Pathways
AHCYL2,Selenoamino acid metabolism,In multiple Pathways
AHCYL2,Cysteine Metabolism,In multiple Pathways
AHCYL2,Methionine Metabolism,In multiple Pathways
AICDA,Pyrimidine Metabolism,Unique
AK1,Purine Metabolism,Unique
AK2,Purine Metabolism,Unique
AK3,Purine Metabolism,Unique
AK3L1,Purine Metabolism,Unique
AK5,Purine Metabolism,Unique
AK7,Purine Metabolism,Unique
AKR1A1,Eicosanoid Metabolism,In multiple Pathways
AKR1A1,Xenobiotics Metabolism,In multiple Pathways
AKR1A1,Sugar Degradation,In multiple Pathways
AKR1A1,ROS Detoxification,In multiple Pathways
AKR1B1,Sugar Degradation,In multiple Pathways
AKR1B1,Eicosanoid Metabolism,In multiple Pathways
AKR1B1,Xenobiotics Metabolism,In multiple Pathways
AKR1B1,ROS Detoxification,In multiple Pathways
AKR1C1,Steroid Metabolism,Unique
AKR1C4,Eicosanoid Metabolism,In multiple Pathways
AKR1C4,Sugar Degradation,In multiple Pathways
AKR1C4,Steroid Metabolism,In multiple Pathways
AKR1C4,ROS Detoxification,In multiple Pathways
AKR1C4,Xenobiotics Metabolism,In multiple Pathways
AKR1D1,Steroid Metabolism,In multiple Pathways
AKR1D1,Bile Acid Biosynthesis,In multiple Pathways
AKR7A2,Xenobiotics Metabolism,In multiple Pathways
AKR7A2,GABA shunt,In multiple Pathways
ALAD,Porphyrin and Heme Metabolism,Unique
ALAS1,Porphyrin and Heme Metabolism,Unique
ALAS2,Porphyrin and Heme Metabolism,Unique
ALDH18A1,Arginine and Proline Metabolism,In multiple Pathways
ALDH18A1,Glutamate metabolism,In multiple Pathways
ALDH1A1,Ethanol Metabolism,In multiple Pathways
ALDH1A1,"Fatty Acids Oxidation, peroxisomal",In multiple Pathways
ALDH1A1,ROS Detoxification,In multiple Pathways
ALDH1A1,Xenobiotics Metabolism,In multiple Pathways
ALDH1A2,Retinol Metabolism,Unique
ALDH1A3,Retinol Metabolism,Unique
ALDH1B1,Ethanol Metabolism,In multiple Pathways
ALDH1B1,Citric Acid Cycle,In multiple Pathways
ALDH1B1,Xenobiotics Metabolism,In multiple Pathways
ALDH1L1,Folate Metabolism,Unique
ALDH2,Xenobiotics Metabolism,In multiple Pathways
ALDH2,"Fatty Acids Oxidation, mitochondrial",In multiple Pathways
ALDH2,Lysine Metabolism,In multiple Pathways
ALDH2,ROS Detoxification,In multiple Pathways
ALDH2,Histidine Metabolism,In multiple Pathways
ALDH2,Tryptophan metabolism,In multiple Pathways
ALDH2,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
ALDH3A1,Ethanol Metabolism,In multiple Pathways
ALDH3A1,Histidine Metabolism,In multiple Pathways
ALDH3A1,Xenobiotics Metabolism,In multiple Pathways
ALDH3A1,ROS Detoxification,In multiple Pathways
ALDH3A1,Phenylalanine metabolism,In multiple Pathways
ALDH3A1,Tyrosine metabolism,In multiple Pathways
ALDH3A2,Fatty Acid Metabolism,Unique
ALDH3B1,Histidine Metabolism,In multiple Pathways
ALDH3B1,ROS Detoxification,In multiple Pathways
ALDH3B1,Tyrosine metabolism,In multiple Pathways
ALDH3B1,Xenobiotics Metabolism,In multiple Pathways
ALDH3B1,Ethanol Metabolism,In multiple Pathways
ALDH3B1,Phenylalanine metabolism,In multiple Pathways
ALDH3B2,Histidine Metabolism,In multiple Pathways
ALDH3B2,Phenylalanine metabolism,In multiple Pathways
ALDH3B2,ROS Detoxification,In multiple Pathways
ALDH3B2,Xenobiotics Metabolism,In multiple Pathways
ALDH3B2,Tyrosine metabolism,In multiple Pathways
ALDH3B2,Ethanol Metabolism,In multiple Pathways
ALDH4A1,Arginine and Proline Metabolism,In multiple Pathways
ALDH4A1,Citric Acid Cycle,In multiple Pathways
ALDH4A1,GABA shunt,In multiple Pathways
ALDH4A1,Glutamate metabolism,In multiple Pathways
ALDH5A1,GABA shunt,In multiple Pathways
ALDH5A1,Citric Acid Cycle,In multiple Pathways
ALDH6A1,"Valine, Leucine and Isoleucine Metabolism",In multiple Pathways
ALDH6A1,Pyrimidine Metabolism,In multiple Pathways
ALDH7A1,Lysine Metabolism,Unique
ALDH9A1,GABA shunt,Unique
ALDOA,Glycolysis and Gluconeogenesis,Unique
ALDOB,Glycolysis and Gluconeogenesis,Unique
ALDOC,Glycolysis and Gluconeogenesis,Unique
ALG1,N-Glycan Biosynthesis,Unique
ALG10,N-Glycan Biosynthesis,Unique
ALG12,N-Glycan Biosynthesis,Unique
ALG2,N-Glycan Biosynthesis,Unique
ALG3,N-Glycan Biosynthesis,Unique
ALG5,N-Glycan Biosynthesis,Unique
ALG6,N-Glycan Biosynthesis,Unique
ALG8,N-Glycan Biosynthesis,Unique
ALOX12,Eicosanoid Metabolism,Unique
ALOX12B,Eicosanoid Metabolism,Unique
ALOX15,Eicosanoid Metabolism,Unique
ALOX15B,Eicosanoid Metabolism,Unique
ALOX5,Eicosanoid Metabolism,Unique
ALPI,Glycerophospholipid Metabolism,Unique
ALPL,Glycerophospholipid Metabolism,Unique
ALPP,Glycerophospholipid Metabolism,Unique
ALPPL2,Glycerophospholipid Metabolism,Unique
AMACR,Bile Acid Biosynthesis,Unique
AMD1,Polyamines Metabolism,In multiple Pathways
AMD1,Methionine Metabolism,In multiple Pathways
AMDHD2,Amino and Nucleotide Sugar Metabolism,Unique
AMPD1,Purine Metabolism,Unique
AMPD2,Purine Metabolism,Unique
AMPD3,Purine Metabolism,Unique
AMT,Folate Metabolism,Unique
AMY1A,Sugar Degradation,Unique
AMY2A,Sugar Degradation,Unique
AMY2B,Sugar Degradation,Unique
AOC2,Phenylalanine metabolism,In multiple Pathways
AOC2,Tyrosine metabolism,In multiple Pathways
AOC2,Arginine and Proline Metabolism,In multiple Pathways
AOC2,beta-Alanine metabolism,In multiple Pathways
AOC2,Tryptophan metabolism,In multiple Pathways
AOC2,Histidine Metabolism,In multiple Pathways
AOC3,beta-Alanine metabolism,In multiple Pathways
AOC3,"Glycine, Serine and Threonine Metabolism",In multiple Pathways
AOC3,Tyrosine metabolism,In multiple Pathways
AOC3,Histidine Metabolism,In multiple Pathways
AOC3,Arginine and Proline Metabolism,In multiple Pathways
AOX1,Xenobiotics Metabolism,In multiple Pathways
AOX1,Retinol Metabolism,In multiple Pathways
AOX1,Ethanol Metabolism,In multiple Pathways
AOX1,ROS Detoxification,In multiple Pathways
APRT,Purine Metabolism,Unique
AQP8,"Transport, Mitochondrial",Unique
AQP9,"Transport, Mitochondrial",In multiple Pathways
AQP9,Urea Cycle,In multiple Pathways
ARG1,Urea Cycle,Unique
ARG2,Urea Cycle,Unique
ARSA,Sphingolipid Metabolism,Unique
ARSB,Chondroitin sulfate degradation,Unique
ASAH1,Sphingolipid Metabolism,Unique
ASL,Urea Cycle,Unique
ASMT,Tryptophan metabolism,Unique
ASNS,Alanine and Aspartate Metabolism,Unique
ASPA,Alanine and Aspartate Metabolism,Unique
ASRGL1,Alanine and Aspartate Metabolism,Unique
ASS1,Urea Cycle,Unique
ATHL1,Sugar Degradation,Unique
ATIC,Purine Biosynthesis,Unique
ATP10A,Glycerophospholipid Metabolism,Unique
ATP1A1,"Transport, Extracellular",Unique
ATP1A2,"Transport, Extracellular",Unique
ATP1A3,"Transport, Extracellular",Unique
ATP1A4,"Transport, Extracellular",Unique
ATP1B1,"Transport, Extracellular",Unique
ATP1B2,"Transport, Extracellular",Unique
ATP1B3,"Transport, Extracellular",Unique
ATP1B4,"Transport, Extracellular",Unique
ATP2B1,"Transport, Extracellular",Unique
ATP2B2,"Transport, Extracellular",Unique
ATP2B3,"Transport, Extracellular",Unique
ATP2B4,"Transport, Extracellular",Unique
ATP4A,"Transport, Extracellular",Unique
ATP4B,"Transport, Extracellular",Unique
ATP5A1,Oxidative Phosphorylation,Unique
ATP5B,Oxidative Phosphorylation,Unique
ATP5C1,Oxidative Phosphorylation,Unique
ATP5D,Oxidative Phosphorylation,Unique
ATP5E,Oxidative Phosphorylation,Unique
ATP5F1,Oxidative Phosphorylation,Unique
ATP5G1,Oxidative Phosphorylation,Unique
ATP5G2,Oxidative Phosphorylation,Unique
ATP5G3,Oxidative Phosphorylation,Unique
ATP5H,Oxidative Phosphorylation,Unique
ATP5I,Oxidative Phosphorylation,Unique
ATP5J,Oxidative Phosphorylation,Unique
ATP5J2,Oxidative Phosphorylation,Unique
ATP5L,Oxidative Phosphorylation,Unique
ATP6V0A1,"Transport, Lysosomal",Unique
ATP6V0A2,"Transport, Lysosomal",Unique
ATP6V0A4,"Transport, Lysosomal",Unique
ATP6V0B,"Transport, Lysosomal",Unique
ATP6V0C,"Transport, Lysosomal",Unique
ATP6V0D1,"Transport, Lysosomal",Unique
ATP6V0D2,"Transport, Lysosomal",Unique
ATP6V1A,"Transport, Lysosomal",Unique
ATP6V1B1,"Transport, Lysosomal",Unique
ATP6V1B2,"Transport, Lysosomal",Unique
ATP6V1C1,"Transport, Lysosomal",Unique
ATP6V1C2,"Transport, Lysosomal",Unique
ATP6V1D,"Transport, Lysosomal",Unique
ATP6V1E1,"Transport, Lysosomal",Unique
ATP6V1E2,"Transport, Lysosomal",Unique
ATP6V1F,"Transport, Lysosomal",Unique
ATP6V1G1,"Transport, Lysosomal",Unique
ATP6V1G2,"Transport, Lysosomal",Unique
ATP6V1G3,"Transport, Lysosomal",Unique
ATP6V1H,"Transport, Lysosomal",Unique
ATP8A1,Glycerophospholipid Metabolism,Unique
AUH,"Valine, Leucine and Isoleucine Metabolism",Unique
B3GALNT1,Sphingolipid Metabolism,Unique
B3GALT4,Sphingolipid Metabolism,Unique
B3GALT5,Sphingolipid Metabolism,Unique
B3GALT6,Chondroitin and Heparan sulfate biosynthesis,Unique
B3GAT1,Chondroitin and Heparan sulfate biosynthesis,Unique
B3GAT2,Chondroitin and Heparan sulfate biosynthesis,Unique
B3GAT3,Chondroitin and Heparan sulfate biosynthesis,Unique
B3GNT2,Keratan sulfate biosynthesis,In multiple Pathways
B3GNT2,Blood Group Biosynthesis,In multiple Pathways
B3GNT3,Sphingolipid Metabolism,In multiple Pathways
B3GNT3,Keratan sulfate biosynthesis,In multiple Pathways
B3GNT3,Blood Group Biosynthesis,In multiple Pathways
B3GNT4,Keratan sulfate biosynthesis,Unique
B3GNT5,Blood Group Biosynthesis,Unique
B3GNT6,O-Glycan Biosynthesis,In multiple Pathways
B3GNT6,Keratan sulfate biosynthesis,In multiple Pathways
B3GNT7,Keratan sulfate biosynthesis,Unique
B3GNT8,Keratan sulfate biosynthesis,Unique
B3GNTL1,Keratan sulfate biosynthesis,Unique
B4GALNT1,Sphingolipid Metabolism,Unique
B4GALT1,Keratan sulfate biosynthesis,In multiple Pathways
B4GALT1,N-Glycan Biosynthesis,In multiple Pathways
B4GALT1,Galactose metabolism,In multiple Pathways
B4GALT2,Galactose metabolism,In multiple Pathways
B4GALT2,N-Glycan Biosynthesis,In multiple Pathways
B4GALT2,Keratan sulfate biosynthesis,In multiple Pathways
B4GALT3,Keratan sulfate biosynthesis,In multiple Pathways
B4GALT3,N-Glycan Biosynthesis,In multiple Pathways
B4GALT5,N-Glycan Biosynthesis,In multiple Pathways
B4GALT5,Keratan sulfate biosynthesis,In multiple Pathways
B4GALT7,Chondroitin and Heparan sulfate biosynthesis,Unique
BAAT,Bile Acid Biosynthesis,Unique
BBOX1,Lysine Metabolism,Unique
BCAT1,"Valine, Leucine and Isoleucine Metabolism",Unique
BCAT2,"Valine, Leucine and Isoleucine Metabolism",Unique
BCKDHA,"Valine, Leucine and Isoleucine Metabolism",Unique
BCKDHB,"Valine, Leucine and Isoleucine Metabolism",Unique
BCMO1,Retinol Metabolism,Unique
BDH1,Ketone Bodies Metabolism,Unique
BHMT,Methionine Metabolism,In multiple Pathways
BHMT,"Glycine, Serine and Threonine Metabolism",In multiple Pathways
BHMT2,Methionine Metabolism,In multiple Pathways
BHMT2,"Glycine, Serine and Threonine Metabolism",In multiple Pathways
BLVRA,Porphyrin and Heme Metabolism,Unique
BLVRB,Porphyrin and Heme Metabolism,Unique
BPGM,Glycolysis and Gluconeogenesis,Unique
BPNT1,Nucleotide Metabolism,Unique
BTD,Biotin Metabolism,Unique
C1GALT1,O-Glycan Biosynthesis,Unique
CA1,Carbonic Acid Metabolism,Unique
CA12,Carbonic Acid Metabolism,Unique
CA13,Carbonic Acid Metabolism,Unique
CA14,Carbonic Acid Metabolism,Unique
CA2,Carbonic Acid Metabolism,Unique
CA3,Carbonic Acid Metabolism,Unique
CA4,Carbonic Acid Metabolism,Unique
CA5A,Carbonic Acid Metabolism,Unique
CA5B,Carbonic Acid Metabolism,Unique
CA6,Carbonic Acid Metabolism,Unique
CA7,Carbonic Acid Metabolism,Unique
CA8,Carbonic Acid Metabolism,Unique
CA9,Carbonic Acid Metabolism,Unique
CAD,Pyrimidine Biosynthesis,Unique
CANT1,Nucleotide Metabolism,Unique
CAT,ROS Detoxification,Unique
CBR1,Eicosanoid Metabolism,In multiple Pathways
CBR1,Xenobiotics Metabolism,In multiple Pathways
CBS,"Glycine, Serine and Threonine Metabolism",In multiple Pathways
CBS,Cysteine Metabolism,In multiple Pathways
CBS,Glutathione Metabolism,In multiple Pathways
CBS,Selenoamino acid metabolism,In multiple Pathways
CCBL1,Tryptophan metabolism,Unique
CD38,NAD Metabolism,Unique
CDA,Pyrimidine Metabolism,Unique
CDIPT,Glycerophospholipid Metabolism,Unique
CDO1,Taurine and hypotaurine metabolism,Unique
CDS1,Glycerophospholipid Metabolism,Unique
CDS2,Glycerophospholipid Metabolism,Unique
CEPT1,Glycerophospholipid Metabolism,Unique
CERK,Sphingolipid Metabolism,Unique
CES2,Xenobiotics Metabolism,Unique
CH25H,Bile Acid Biosynthesis,Unique
CHAT,Glycerophospholipid Metabolism,Unique
CHDH,"Glycine, Serine and Threonine Metabolism",Unique
CHIA,Amino and Nucleotide Sugar Metabolism,Unique
CHIT1,Amino and Nucleotide Sugar Metabolism,Unique
CHKA,Glycerophospholipid Metabolism,Unique
CHKB,Glycerophospholipid Metabolism,Unique
CHPF,Chondroitin and Heparan sulfate biosynthesis,Unique
CHPF2,Chondroitin and Heparan sulfate biosynthesis,Unique
CHPT1,Glycerophospholipid Metabolism,Unique
CHST1,Keratan sulfate biosynthesis,Unique
CHST11,Chondroitin and Heparan sulfate biosynthesis,Unique
CHST12,Chondroitin and Heparan sulfate biosynthesis,Unique
CHST13,Chondroitin and Heparan sulfate biosynthesis,Unique
CHST2,Keratan sulfate biosynthesis,Unique
CHST3,Keratan sulfate biosynthesis,In multiple Pathways
CHST3,Chondroitin and Heparan sulfate biosynthesis,In multiple Pathways
CHST4,Keratan sulfate biosynthesis,Unique
CHST5,Keratan sulfate biosynthesis,Unique
CHST6,Keratan sulfate biosynthesis,Unique
CHST7,Chondroitin and Heparan sulfate biosynthesis,Unique
CHSY1,Chondroitin and Heparan sulfate biosynthesis,Unique
CHSY3,Chondroitin and Heparan sulfate biosynthesis,Unique
CKB,Creatine Metabolism,Unique
CKM,Creatine Metabolism,Unique
CKMT1B,Creatine Metabolism,Unique
CKMT2,Creatine Metabolism,Unique
CLC,Glycerophospholipid Metabolism,Unique
CLYBL,Citric Acid Cycle,Unique
CMAS,Amino and Nucleotide Sugar Metabolism,Unique
CNDP1,Histidine Metabolism,In multiple Pathways
CNDP1,beta-Alanine metabolism,In multiple Pathways
CNDP1,GABA shunt,In multiple Pathways
COASY,CoA Biosynthesis,Unique
COL4A3BP,Sphingolipid Metabolism,Unique
COMT,Tyrosine metabolism,Unique
COMTD1,Tyrosine metabolism,Unique
COQ2,Ubiquinone Biosynthesis,Unique
COQ3,Ubiquinone Biosynthesis,Unique
COQ6,Ubiquinone Biosynthesis,Unique
COQ7,Ubiquinone Biosynthesis,Unique
COX4I1,Oxidative Phosphorylation,Unique
COX4I2,Oxidative Phosphorylation,Unique
COX5A,Oxidative Phosphorylation,Unique
COX5B,Oxidative Phosphorylation,Unique
COX6A1,Oxidative Phosphorylation,Unique
COX6A2,Oxidative Phosphorylation,Unique
COX6B1,Oxidative Phosphorylation,Unique
COX6B2,Oxidative Phosphorylation,Unique
COX6C,Oxidative Phosphorylation,Unique
COX7A1,Oxidative Phosphorylation,Unique
COX7A2,Oxidative Phosphorylation,Unique
COX7A2L,Oxidative Phosphorylation,Unique
COX7B,Oxidative Phosphorylation,Unique
COX7B2,Oxidative Phosphorylation,Unique
COX7C,Oxidative Phosphorylation,Unique
COX8A,Oxidative Phosphorylation,Unique
COX8C,Oxidative Phosphorylation,Unique
CPOX,Porphyrin and Heme Metabolism,Unique
CPS1,Pyrimidine Biosynthesis,In multiple Pathways
CPS1,Urea Cycle,In multiple Pathways
CPT1A,Carnitine shuttle,Unique
CPT1B,Carnitine shuttle,Unique
CPT1C,Carnitine shuttle,Unique
CPT2,Carnitine shuttle,Unique
CRAT,Carnitine shuttle,Unique
CRLS1,Glycerophospholipid Metabolism,Unique
CROT,Fatty Acid Metabolism,Unique
CS,Citric Acid Cycle,Unique
CSAD,Taurine and hypotaurine metabolism,Unique
CSGALNACT1,Chondroitin and Heparan sulfate biosynthesis,Unique
CSGALNACT2,Chondroitin and Heparan sulfate biosynthesis,Unique
CTH,Selenoamino acid metabolism,In multiple Pathways
CTH,Cysteine Metabolism,In multiple Pathways
CTH,Glutathione Metabolism,In multiple Pathways
CTPS,Pyrimidine Metabolism,Unique
CTPS2,Pyrimidine Metabolism,Unique
CYB5D1,CYP Metabolism,Unique
CYBRD1,Porphyrin and Heme Metabolism,Unique
CYC1,Oxidative Phosphorylation,Unique
CYP11A1,Steroid Metabolism,Unique
CYP11B1,Steroid Metabolism,Unique
CYP11B2,Steroid Metabolism,Unique
CYP17A1,Steroid Metabolism,Unique
CYP19A1,Steroid Metabolism,Unique
CYP1A1,CYP Metabolism,Unique
CYP1A2,CYP Metabolism,Unique
CYP1B1,CYP Metabolism,In multiple Pathways
CYP1B1,Steroid Metabolism,In multiple Pathways
CYP21A2,Steroid Metabolism,Unique
CYP24A1,Vitamin D,Unique
CYP27A1,Bile Acid Biosynthesis,In multiple Pathways
CYP27A1,Vitamin D,In multiple Pathways
CYP2A13,CYP Metabolism,Unique
CYP2A6,CYP Metabolism,Unique
CYP2C18,CYP Metabolism,Unique
CYP2C19,CYP Metabolism,Unique
CYP2C8,CYP Metabolism,Unique
CYP2C9,CYP Metabolism,Unique
CYP2D6,CYP Metabolism,Unique
CYP2E1,Xenobiotics Metabolism,In multiple Pathways
CYP2E1,CYP Metabolism,In multiple Pathways
CYP2F1,CYP Metabolism,Unique
CYP39A1,Bile Acid Biosynthesis,Unique
CYP3A4,CYP Metabolism,Unique
CYP3A43,Steroid Metabolism,Unique
CYP3A5,CYP Metabolism,Unique
CYP3A7,Steroid Metabolism,Unique
CYP46A1,Bile Acid Biosynthesis,Unique
CYP4A11,CYP Metabolism,Unique
CYP4F12,Fatty Acid Metabolism,In multiple Pathways
CYP4F12,Eicosanoid Metabolism,In multiple Pathways
CYP4F2,Eicosanoid Metabolism,Unique
CYP4F3,Eicosanoid Metabolism,Unique
CYP4F8,Eicosanoid Metabolism,Unique
CYP51A1,Cholesterol Metabolism,In multiple Pathways
CYP51A1,Xenobiotics Metabolism,In multiple Pathways
CYP7A1,Bile Acid Biosynthesis,Unique
DAD1,N-Glycan Biosynthesis,Unique
DAO,Arginine and Proline Metabolism,In multiple Pathways
DAO,"Glycine, Serine and Threonine Metabolism",In multiple Pathways
DBH,Tyrosine metabolism,Unique
DBT,"Valine, Leucine and Isoleucine Metabolism",Unique
DCI,"Fatty Acids Oxidation, mitochondrial",Unique
DCK,Nucleotide Metabolism,Unique
DCT,Tyrosine metabolism,Unique
DCTD,Pyrimidine Metabolism,Unique
DCXR,Pentose Phosphate Pathway,Unique
DDC,Phenylalanine metabolism,In multiple Pathways
